case,method,mpi,threads,newton_iterations,linear_iterations,linear_solve_s,linear_setup_s,linear_apply_s,assembly_update_s,total_s
SPE10,GPUILU0,1,12,27102,4073559,142780.69,88.61,142692.08,28527.31,182716.09
SPE10,GPUDILU,1,12,28338,4258696,144297.93,47.45,144250.48,27207.06,181346.73
SPE10,GPUCPR-AMG,1,12,230,160,128.77,71.56,57.21,230.87,409.62
SPE10,GPUCPRW-AMG,1,12,229,165,140.55,81.78,58.77,237.47,427.78
SPE10,CPUCPR-AMG,12,1,248,1132,4069.58,340.83,3728.75,924.96,5327.56
SPE10,CPUCPRW-AMG,12,1,242,633,2524.82,340.79,2184.03,900.55,3757.82
